Customer ID;Gender;Age;City;Items Purchased;Discount Applied;Days Since Last Purchase;Average Rating;Satisfaction Level;Total Spend;Membership Type;Spender Group
101;Female;29;New York;14;TRUE;25;4.6;Satisfied;11202;Gold;High Spender
102;Male;34;Los Angeles;11;FALSE;18;4.1;Neutral;7805;Silver;Medium Spender
103;Female;43;Chicago;9;TRUE;42;3.4;Unsatisfied;51075;Bronze;High Spender
104;Male;30;San Francisco;19;FALSE;12;4.7;Satisfied;14803;Gold;High Spender
105;Male;27;Miami;13;TRUE;55;4.0;Unsatisfied;7204;Silver;Medium Spender
106;Female;37;Houston;8;FALSE;22;3.1;Neutral;4408;Bronze;Low Spender
107;Female;31;New York;15;TRUE;28;4.5;Satisfied;11506;Gold;High Spender
108;Male;35;Los Angeles;12;FALSE;14;4.2;Neutral;8009;Silver;Medium Spender
109;Female;41;Chicago;10;TRUE;40;3.6;Unsatisfied;49525;Bronze;High Spender
110;Male;28;San Francisco;21;FALSE;9;4.8;Satisfied;15201;Gold;High Spender
111;Male;32;Miami;11;TRUE;34;3.8;Unsatisfied;6903;Silver;Low Spender
112;Female;36;Houston;7;FALSE;20;3.2;Neutral;4705;Bronze;Low Spender
113;Female;30;New York;16;TRUE;21;4.3;Satisfied;12008;Gold;High Spender
114;Male;33;Los Angeles;13;FALSE;15;4.4;Satisfied;82075;Silver;High Spender
115;Female;42;Chicago;9;TRUE;38;3.5;Unsatisfied;5304;Bronze;Low Spender
116;Male;29;San Francisco;18;FALSE;11;4.9;Satisfied;13602;Gold;High Spender
117;Male;26;Miami;12;TRUE;48;3.7;Unsatisfied;7006;Silver;Medium Spender
118;Female;38;Houston;8;FALSE;25;3.0;Neutral;4509;Bronze;Low Spender
119;Female;32;New York;14;TRUE;29;4.7;Satisfied;11703;Gold;High Spender
120;Male;34;Los Angeles;11;FALSE;16;4.0;Neutral;7902;Silver;Medium Spender
121;Female;43;Chicago;10;TRUE;41;3.3;Unsatisfied;50575;Bronze;High Spender
122;Male;30;San Francisco;20;FALSE;13;4.8;Satisfied;14705;Gold;High Spender
123;Male;27;Miami;13;TRUE;54;4.1;Unsatisfied;7104;Silver;Medium Spender
124;Female;37;Houston;7;FALSE;23;3.4;Neutral;4308;Bronze;Low Spender
125;Female;31;New York;15;TRUE;27;4.6;Satisfied;11406;Gold;High Spender
126;Male;35;Los Angeles;12;FALSE;13;4.3;Neutral;8109;Silver;Medium Spender
127;Female;41;Chicago;9;TRUE;39;3.6;Unsatisfied;48525;Bronze;High Spender
128;Male;28;San Francisco;21;FALSE;10;4.9;Satisfied;15001;Gold;High Spender
129;Male;32;Miami;10;TRUE;33;3.8;Unsatisfied;6703;Silver;Low Spender
130;Female;36;Houston;8;FALSE;19;3.1;Neutral;4605;Bronze;Low Spender
131;Female;30;New York;16;TRUE;20;4.5;Satisfied;11908;Gold;High Spender
132;Male;33;Los Angeles;13;FALSE;14;4.2;Satisfied;83075;Silver;High Spender
